#score	name1	strand1	size1	zstart1	end1	name2	strand2	size2	zstart2	end2	identity	idPct	coverage	covPct
166518	U00096.2	+	4639675	61789	63526	NODE_1_length_1737_cov_1.140904	-	1737	0	1737	1737/1737	100.0%	1737/1737	100.0%
134408	U00096.2	+	4639675	15376	16785	NODE_2_length_1409_cov_1.864106	+	1409	0	1409	1407/1409	99.9%	1409/1409	100.0%
3982	U00096.2	+	4639675	607181	607255	NODE_2_length_1409_cov_1.864106	-	1409	5	80	60/72	83.3%	75/1409	5.3%
3093	U00096.2	+	4639675	608548	608584	NODE_2_length_1409_cov_1.864106	-	1409	1373	1409	34/36	94.4%	36/1409	2.6%
66138	U00096.2	+	4639675	65965	66656	NODE_3_length_1084_cov_1.084548	+	1084	0	691	689/691	99.7%	691/1084	63.7%
8836	U00096.2	+	4639675	66648	66741	NODE_3_length_1084_cov_1.084548	+	1084	598	691	92/93	98.9%	93/1084	8.6%
43324	U00096.2	+	4639675	5157	5712	NODE_3_length_1084_cov_1.084548	-	1084	0	523	500/523	95.6%	523/1084	48.2%
4448	U00096.2	+	4639675	2302804	2302925	NODE_3_length_1084_cov_1.084548	-	1084	393	486	78/93	83.9%	93/1084	8.6%
27884	U00096.2	+	4639675	3748080	3748693	NODE_3_length_1084_cov_1.084548	-	1084	472	1084	445/609	73.1%	612/1084	56.5%
103269	U00096.2	+	4639675	88622	89705	NODE_4_length_1083_cov_1.457198	+	1083	0	1083	1083/1083	100.0%	1083/1083	100.0%
91802	U00096.2	+	4639675	24419	25375	NODE_5_length_956_cov_1.035516	-	956	0	956	956/956	100.0%	956/956	100.0%
73367	U00096.2	+	4639675	3581452	3582222	NODE_6_length_842_cov_3.701398	+	842	0	770	767/770	99.6%	770/842	91.4%
80433	U00096.2	+	4639675	19719	20561	NODE_6_length_842_cov_3.701398	-	842	0	842	841/842	99.9%	842/842	100.0%
72011	U00096.2	+	4639675	278384	279152	NODE_6_length_842_cov_3.701398	-	842	74	842	759/768	98.8%	768/842	91.2%
73238	U00096.2	+	4639675	1976526	1977292	NODE_6_length_842_cov_3.701398	-	842	76	842	765/766	99.9%	766/842	91.0%
76151	U00096.2	+	4639675	53209	54003	NODE_7_length_794_cov_1.148850	-	794	0	794	794/794	100.0%	794/794	100.0%
68542	U00096.2	+	4639675	77925	78643	NODE_8_length_718_cov_2.304676	+	718	0	718	718/718	100.0%	718/718	100.0%
68737	U00096.2	+	4639675	14418	15133	NODE_9_length_715_cov_1.606061	+	715	0	715	715/715	100.0%	715/715	100.0%
67546	U00096.2	+	4639675	85022	85734	NODE_10_length_712_cov_1.171994	-	712	0	712	712/712	100.0%	712/712	100.0%
67441	U00096.2	+	4639675	57015	57721	NODE_11_length_706_cov_0.946237	-	706	0	706	706/706	100.0%	706/706	100.0%
65831	U00096.2	+	4639675	37407	38096	NODE_12_length_689_cov_1.503155	+	689	0	689	689/689	100.0%	689/689	100.0%
60620	U00096.2	+	4639675	55753	56388	NODE_13_length_635_cov_2.018966	-	635	0	635	635/635	100.0%	635/635	100.0%
56171	U00096.2	+	4639675	51423	52010	NODE_14_length_587_cov_1.385338	+	587	0	587	587/587	100.0%	587/587	100.0%
55673	U00096.2	+	4639675	18413	18997	NODE_15_length_584_cov_1.489603	+	584	0	584	584/584	100.0%	584/584	100.0%
52179	U00096.2	+	4639675	10754	11300	NODE_16_length_546_cov_1.429735	-	546	0	546	546/546	100.0%	546/546	100.0%
51833	U00096.2	+	4639675	8473	9015	NODE_17_length_542_cov_1.763860	-	542	0	542	542/542	100.0%	542/542	100.0%
50914	U00096.2	+	4639675	87135	87667	NODE_18_length_532_cov_1.098532	-	532	0	532	532/532	100.0%	532/532	100.0%
50229	U00096.2	+	4639675	17115	17646	NODE_19_length_531_cov_1.157563	+	531	0	531	531/531	100.0%	531/531	100.0%
49643	U00096.2	+	4639675	19143	19664	NODE_20_length_521_cov_1.568670	-	521	0	521	521/521	100.0%	521/521	100.0%
47247	U00096.2	+	4639675	35069	35561	NODE_21_length_492_cov_1.192220	+	492	0	492	492/492	100.0%	492/492	100.0%
9753	U00096.2	+	4639675	1462512	1462794	NODE_21_length_492_cov_1.192220	-	492	208	490	184/282	65.2%	282/492	57.3%
46429	U00096.2	+	4639675	79880	80364	NODE_22_length_484_cov_1.027972	+	484	0	484	484/484	100.0%	484/484	100.0%
45483	U00096.2	+	4639675	30115	30589	NODE_23_length_474_cov_0.871122	+	474	0	474	474/474	100.0%	474/474	100.0%
