ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
1	298	0	0	0.000000	2.271812	2.271812	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
2	286	0	0	0.000000	1.958042	1.958042	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
3	296	0	0	0.000000	2.304054	2.304054	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
4	348	0	0	0.000000	2.341954	2.341954	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
5	311	0	0	0.000000	3.372990	3.372990	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
6	101	0	0	0.000000	2.643564	2.643564	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
7	263	0	0	0.000000	1.585551	1.585551	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
8	522	0	0	0.000000	2.986590	2.986590	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
9	659	0	0	0.000000	4.220030	4.220030	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
10	349	1	0	0.000000	2.295129	2.295129	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
11	978	0	0	0.000000	2.049080	2.049080	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
12	87	0	0	0.000000	2.528736	2.528736	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
13	68	0	0	0.000000	1.882353	1.882353	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
14	123	0	0	0.000000	3.048780	3.048780	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
15	132	0	0	0.000000	3.272727	3.272727	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
16	278	0	0	0.000000	1.812950	1.812950	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
17	96	0	0	0.000000	1.531250	1.531250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
18	260	0	0	0.000000	2.500000	2.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
19	695	0	0	0.000000	2.951079	2.951079	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
20	75	0	0	0.000000	1.493333	1.493333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
21	95	0	0	0.000000	1.536842	1.536842	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
22	259	0	0	0.000000	1.498069	1.498069	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
23	130	0	0	0.000000	3.161538	3.161538	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
24	100	0	0	0.000000	2.470000	2.470000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
25	82	0	0	0.000000	1.621951	1.621951	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
26	83	0	0	0.000000	1.927711	1.927711	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
27	176	0	0	0.000000	1.170455	1.170455	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
28	1313	0	0	0.000000	3.480579	3.480579	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
29	239	0	0	0.000000	2.205021	2.205021	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
30	270	0	0	0.000000	2.274074	2.274074	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
31	116	0	0	0.000000	2.603448	2.603448	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
32	81	0	0	0.000000	2.407407	2.407407	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
33	91	0	0	0.000000	2.351648	2.351648	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
